"","rating","name","address","price","reviews","reservations","delivery","takeaway","takescard","mealtype","parking","kidfriendly","groupfriendly","dresscode","atmosphere","noise","alcohol","sitoutside","wifi","tv","serving","catering","handicapfriendly","dancing","happyhour","closet","smoking","workfriendly","music","pooltable"
"778",4,"
            Baan Thai Isarn
        ","Lille Istedgade 7","
                        Under 199 kr
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779",3.5,"
            Kafeen i DGI Byen
        ","Tietgensgade 65",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780",3,"
            Joe & The Juice
        ","Grønnegade 10, 1. sal",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781",4,"
            Baan Thai Isarn
        ","Lille Istedgade 7","
                        Under 199 kr
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782",3.5,"
            Kafeen i DGI Byen
        ","Tietgensgade 65",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783",3,"
            Joe & The Juice
        ","Grønnegade 10, 1. sal",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"784",3.5,"
            Madhuset
        ","Oehlenschlægergade 53","
                        Under 199 kr
                    ",2,0,1,0,1,NA,NA,1,0,"
                                Uformel
                            ",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785",3.5,"
            Lagkagehuset
        ","Vesterbrogade 4 A","
                        400-699 kr
                    ",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786",3,"
            LETZ SUSHI
        ","Nørre Farimagsgade 63","
                        200-399 kr
                    ",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787",4.5,"
            Creative Space
        ","Kastelsvej 1",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788",3,"
            Joe & The Juice
        ","Skindergade 33","
                        200-399 kr
                    ",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"789",3,NA,"Vesterbrogade 3Tivoli","
                        400-699 kr
                    ",3,0,0,1,1,NA,NA,1,1,"
                                Uformel
                            ",NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790",3,"
            The Dubliner
        ","Amagertorv 5","
                        400-699 kr
                    ",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791",3.5,"
            Le Basilic
        ","Gasværksvej 5",NA,2,1,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792",3.5,"
            Riccos Kaffebar
        ","Ryesgade 87","
                        Under 199 kr
                    ",7,0,0,1,1,NA,NA,1,1,"
                                Uformel
                            ",NA,"
                                Stille
                            ","
                                Nej
                            ",1,"
                                Gratis
                            ",0,1,0,NA,NA,NA,NA,NA,1,NA,NA
"793",3.5,"
            Den Plettede Gris
        ","Trangravsvej 5","
                        Under 199 kr
                    ",3,0,0,0,1,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794",3.5,"
            Sticks ‘n’ Sushi
        ","Øster Farimagsgade 16 B","
                        200-399 kr
                    ",16,0,0,0,1,"
                                Frokost, Middag
                            ","
                                Parkeringsservice, Gade
                            ",1,0,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Højt
                            ","
                                Kun øl og vin
                            ",1,"
                                Nej
                            ",1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"795",4,"
            Den Franske Bogcafé
        ","Fiolstræde 16","
                        200-399 kr
                    ",4,0,0,0,1,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796",3,NA,"Fælledvej 6","
                        Under 199 kr
                    ",3,0,1,1,1,NA,NA,0,1,"
                                Uformel
                            ",NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797",2.5,"
            Scandi
        ","Nørregade 34","
                        Under 199 kr
                    ",5,1,1,1,1,"
                                Middag
                            ","
                                Gade
                            ",0,1,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Kun øl og vin
                            ",0,"
                                Nej
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"798",3,"
            JuicyBurger
        ","Axeltorv 9","
                        Under 199 kr
                    ",4,0,0,1,1,NA,NA,1,NA,"
                                Uformel
                            ",NA,NA,"
                                Nej
                            ",1,"
                                Nej
                            ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799",3.5,"
            Cafe Toldboden
        ","Amaliegade 41",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800",3.5,"
            Divan
        ","Nørrebrogade 245","
                        Under 199 kr
                    ",9,1,0,1,1,NA,NA,1,1,"
                                Elegant
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Nej
                            ",0,"
                                Nej
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
